,Train,Validation,Test
LSTM Multiple,0.0004558792570605874,0.0006146280211396515,0.0006673070602118969
LSTM Bidirectional,0.0004308469651732594,0.0006156869931146502,0.0006680631195195019
LSTM Simple,0.0005259050521999598,0.0007007314125075936,0.0007426342344842851
GRU Multiple,0.0006502169999293983,0.0008449996239505708,0.0009388701291754842
GRU Bidirectional,0.000555540609639138,0.0007851910777390003,0.0008751028217375278
GRU Simple,0.0007678723777644336,0.0009532556287012994,0.0010377353755757213
