,Cartera_seleccionada,Indice_DJ
0,1.0,1.0
1,1.0033533065747373,0.9999376013447875
2,1.0031709743194326,0.9952172086389666
3,1.0047247949876736,0.9941948425390374
4,0.9997245554260079,0.9908448291993002
5,0.9962656727548103,0.9867768842369194
6,0.9935539565780648,0.975432747014795
7,0.9976224340534363,0.9737579331714258
8,0.9902872324622292,0.9660137124322878
9,0.9897753150494468,0.9707206844137491
10,0.9740950005111286,0.957764132003468
11,0.9764545748305905,0.9589610446506728
12,0.9652099530685238,0.9524245348427071
13,0.9756983811124904,0.9563128426382275
14,0.9784715249083077,0.9584990323580606
15,0.9801450045181489,0.9599116021622175
16,0.9819709361602846,0.9546846156771184
17,0.9837660892269398,0.9618687911313386
18,0.9925029457067811,0.9658076194697073
19,0.9934922555208162,0.978449016249335
20,0.9973398774772226,0.9840989869435637
21,0.9925002141421979,0.9754421569479671
22,1.0115808619282392,0.9843055426897432
23,1.002904350653887,0.9880382009349311
24,1.005421903067482,0.9898132845579991
25,1.007161245542927,0.9920062617706119
26,1.0057017325819753,0.9951417749123934
27,1.0026243309630671,0.9898188379611824
28,1.0055899788835336,0.9895668522917394
29,1.0122625392579032,0.9890206905147799
30,1.0178702451402264,0.9968260758195342
31,1.0397479580963764,1.003624829666712
32,1.036355640823717,1.0080861406879111
33,1.019817145675165,1.0050844491367277
34,1.0163980042385683,0.9993886628662366
35,1.0251862436939727,1.003667868541383
36,1.020384448875473,1.0004545306244352
37,1.0285545398780134,1.000152024412144
38,1.0362033631895409,1.0055393654141616
39,1.0418006437425176,1.007103188324464
40,1.0483428268291781,1.012107884421031
41,1.052962749811827,1.010324470693188
42,1.0494279586108988,1.0073816297896276
43,1.0476618932234127,0.9996378718340884
44,1.0483272147335296,0.9946840819333685
45,1.0533218350232327,0.9991157748042565
46,1.050923259490795,0.9936853949275682
47,1.068936858262781,1.0093364277101557
48,1.0754269590293044,1.0137037165302372
49,1.08155815724922,1.0172329813838359
50,1.0699859362637836,1.0197445851040916
51,1.0745862804891368,1.016242161699212
52,1.0761296158124853,1.013216405400901
53,1.0816334721547356,1.0184832684060805
