,Train,Validation,Test
LSTM Multiple,0.0004499378555919975,0.0007521178922615945,0.0006695996853522956
LSTM Bidirectional,0.0003363842552062124,0.0005733942380174994,0.000567996350582689
LSTM Simple,0.0006752636982128024,0.0009222673834301531,0.0008908759336918592
GRU Multiple,0.0008306475356221199,0.0011852843454107642,0.0012492367532104254
GRU Bidirectional,0.0004427314270287752,0.0008103160071186721,0.0008113400544971228
GRU Simple,0.0011098557151854038,0.0015064713079482317,0.001515061128884554
