,empresa,Sharpe,Sortino,Rentabilidades,Volatilidades
0,AAPL,282.27406110869504,1.4690739597331182,0.39120892289934783,0.34925153300810646
1,AMGN,85.22421628417547,0.49124553145816535,0.0934182956318228,0.27622912272635997
2,AXP,107.43832215639112,0.5751308909336217,0.17190256015189598,0.40320291948733555
3,BA,-62.17145932018155,-0.32777473183984623,-0.13776906933381228,0.5584203081565903
4,CAT,77.37830060513825,0.40502441012234636,0.10742194433755436,0.3498439454131164
5,CRM,144.61909168261255,0.791776962998289,0.21982765065282406,0.38305155508850397
6,CSCO,53.7040593997403,0.266269310010476,0.06486264642782369,0.3043603608834571
7,CVX,-42.0642933923752,-0.20225515233184185,-0.0651921754492637,0.3905551927372293
8,DIS,137.82394497109738,0.7808248029754341,0.18209427060960626,0.33294473034597694
9,DOW,56.33319334599562,0.28949013336528356,0.10751454828558415,0.48095384903105504
10,GS,116.03552365024883,0.6133276048860234,0.16669433574477366,0.3620182103396134
11,HD,142.61997310928214,0.637401422715671,0.1648847507653135,0.29134038022164477
12,IBM,-1.8925432925409937,-0.009413629152157137,-0.002196149471460296,0.2924264237384715
13,INTC,7.235365793398664,0.035624734457600726,0.011388178591566378,0.3966379982741257
14,JNJ,113.53751330912947,0.5521620414966265,0.0998951668125958,0.2217203926972915
15,JPM,83.57449753202292,0.4320139215897939,0.114141240360905,0.3441671014525314
16,KO,72.94887052246322,0.3500356418524906,0.06756928086937974,0.233416345683384
17,MCD,107.54046543282507,0.5116505363108953,0.11226779092105632,0.2630775606023243
18,MMM,-13.105668221385901,-0.06495034214190966,-0.01465648580513157,0.2818196188475296
19,MRK,80.2598311468027,0.4253442393218515,0.07379410387639984,0.2316988948411658
20,MSFT,313.60563609129025,1.6132493534477457,0.3818127349507052,0.3068082908419705
21,NKE,212.70958859535656,1.2119567100708262,0.2746198985048214,0.3253460028774919
22,PG,215.03812390196634,1.1033157868640957,0.1973296163433691,0.2312476616527731
23,TRV,36.55976377079164,0.15886021405061146,0.04516244670444314,0.31129677535313127
24,UNH,122.13372573452263,0.6349350699222239,0.15879785452885953,0.327649542340632
25,V,167.94602788205404,0.850225511801154,0.20084103655651098,0.30135837001030336
