,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,date
0,192.32,184.5552036874026,101.15877544218947,370.8307974729257,157.48500000000007,133.93983710672714,43.66572464962207,127.49392257823617,104.32344771047039,49.767067413602035,232.63500000000008,199.6289391772783,146.531072698652,54.820000000000014,122.62304878350047,110.78649246001879,44.106295630722414,166.42963177292245,205.0764514704763,62.11445419970586,101.03213670283442,74.29999999999998,77.5135330239834,130.5943365359238,253.7332143607892,134.88000000000005,2018-06-12
1,190.665,185.01507385962864,100.68897329202962,370.51088435906314,154.70000000000002,136.21915248843223,43.91558575068724,127.01417548435089,104.30345615534027,48.94760996949267,233.8899999999999,201.29884482701675,146.82096918358604,54.995,122.5030821912214,110.14674431976535,44.38614400228369,166.66953498043222,204.87649697834107,62.224077335224976,101.29208524081892,74.12,77.22359369860426,129.67367331379597,253.53325428204408,134.33999999999997,2018-06-13
2,190.84999999999994,183.6254718027373,99.97925578317167,363.74288843438677,153.07500000000002,136.45908604332266,43.98554655397927,127.00417852914086,106.28294809371441,48.56786018909392,233.6100000000001,200.29890022780017,146.30115374482875,55.544999999999995,122.59305141510873,109.92682946660334,44.15626800955148,166.5195954757386,204.8465045672983,62.37355618551851,100.83216748740911,74.73,76.45376058677114,129.8137739069498,252.82337845812648,135.03,2018-06-14
3,189.07,185.73484611147745,99.71936717915649,362.31331674934273,149.98,138.36851720867682,44.66516905388277,126.4444710444605,108.72232970206771,49.117499533950536,231.94000000000003,199.65893629461934,145.15152846832132,55.100000000000016,122.37312410324103,107.9875886266104,43.55659183830643,166.989426261453,203.58677753685163,61.347120138917305,101.40206640229145,75.83500000000001,75.97385917254294,128.95315161477083,255.28293166902185,135.01,2018-06-15
4,188.73999999999998,184.9550788555697,98.47986677389245,357.77464478577303,148.63999999999993,138.36851720867682,44.225414888536086,123.97574926312133,108.82230273262492,48.8176948686925,231.38500000000008,200.52888321339574,145.34146748596922,53.215000000000025,122.57306079661019,107.85764240719622,44.096298867367736,166.39964387198373,204.92648941526235,61.8154925151409,100.11229356796918,75.605,77.3635633553012,129.46351478915557,255.93280573893745,136.19000000000003,2018-06-18
5,185.75,183.89539593109302,98.42989171602194,354.6355545596099,143.26499999999993,139.75809996554278,44.185436197346974,125.90474984475763,107.0327572640735,50.0668682666854,228.19500000000002,200.67888405804447,144.43176758760058,52.909999999999975,121.28344853121995,108.13753126525718,43.5266053608905,166.2197012130956,204.12665619117166,60.7790885558682,100.84216785519176,74.27,75.82388950386076,127.68222927484881,254.82300975752966,135.11999999999995,2018-06-19
6,186.51000000000002,186.1347365339044,97.10043163081886,341.01956917749465,143.11999999999995,139.478185111945,43.795653489697756,125.47497227603733,106.07300244130826,50.81637230548113,227.73999999999992,199.19897032342817,143.85195936403687,53.475000000000016,122.53307193251717,107.50778133462002,43.57657773971957,164.9101786945854,199.34767212805596,60.8189522385984,100.84216785519176,74.73,76.31379093007422,128.2526486490018,252.9733599591674,135.74,2018-06-20
7,185.395,186.4546336175861,96.38072368615893,342.58911429057616,139.48,138.89835712828804,43.715699919897375,125.22510177388467,107.12273833079232,51.595859098107475,227.01000000000002,199.06897264298803,142.58239427900347,52.159999999999975,122.0032328307025,107.49778312500374,43.23676022597454,162.50104896413603,198.03795266068803,61.068086311739556,101.8519914159642,73.93000000000004,75.83388951584601,125.08035129996561,252.76339196010056,134.59999999999997,2018-06-21
8,185.01499999999993,185.93479894982087,96.5906372323036,337.56059634606265,139.90000000000003,137.83867728906563,43.13602033538881,122.52649577537031,105.86305678890211,53.46462143409594,225.88000000000008,200.29890022780017,141.20285004867276,52.39499999999999,121.41340661920032,107.46779612255426,43.06685337542609,160.4717863165849,195.47849854803778,60.96843507286982,101.1221171287416,73.41499999999999,76.42376817858954,123.53923714036401,251.84356339309224,135.30999999999997,2018-06-22
9,182.23999999999998,185.09503668985417,97.19039893704479,338.81022834528164,136.63999999999993,134.96952715836517,43.17599902657791,125.03519775210702,106.31293924013625,56.21280290968031,221.6100000000001,197.39906699324962,141.23283881422816,50.705,122.80298723127515,105.70848492365758,43.226767275267974,164.4903328281875,196.45828623838517,61.2574288447633,100.39225046956462,72.36,77.41355578745333,124.499937829004,254.32310193267887,130.93000000000004,2018-06-25
10,184.32999999999996,185.30498106841083,98.49986289807016,331.1025067165051,135.53,133.15008060997957,42.266504771203785,122.54648968579035,104.42342074102761,56.84238736967764,221.69999999999996,196.36912527669205,138.74366449726097,49.67,122.5530625510157,104.74886271327742,43.55659183830643,159.75204618754395,195.75843788813702,60.86877985002221,98.37260334801974,72.57500000000002,77.77347994118094,123.80943659495328,250.66378824931292,132.55999999999997,2018-06-26
11,184.26000000000002,184.5352053527163,98.1699954857199,331.20245286956765,134.73500000000007,135.43938750280762,42.526358638777324,124.09568984931393,104.2334742712049,59.67051396040272,220.27,196.34912211248349,139.03357623589062,48.825,122.3131369935535,104.81883492779265,43.30672613151298,160.85165339948313,196.53827108634923,60.51002264136195,99.06248379215728,71.41999999999999,77.98343442622632,122.70864294806921,249.72395909763725,131.05999999999997,2018-06-27
