,date_CSCO,open_CSCO,close_CSCO,volume_CSCO,high_CSCO,low_CSCO,last_CSCO,date_MRK,open_MRK,close_MRK,volume_MRK,high_MRK,low_MRK,last_MRK,date_MSFT,open_MSFT,close_MSFT,volume_MSFT,high_MSFT,low_MSFT,last_MSFT
0,2020-05-29,45.94828383696303,45.58483165462846,292884.67296429886,46.28119009401016,45.36931821352808,45.74933333333333,2020-05-29,78.87566243822454,78.90333451645111,195527.5404798027,79.9884939060261,78.37478799211289,79.15,2020-05-29,181.8271451572468,181.38396055295385,404467.056224064,183.89781685727368,180.53683639910565,182.185
1,2020-06-02,46.78539666578915,46.28713757737752,239345.40169325663,46.95848896771828,46.02883172361304,46.387857142857136,2020-06-02,79.6623607535275,79.42243650226382,119506.31727869736,80.21314792927558,78.88387577415219,79.95964705882352,2020-06-02,183.4430566990192,182.8138381025252,243094.25794355743,183.67244321867287,181.5250368427671,181.932
2,2020-06-04,46.7700000000003,46.9400000000001,213656.22372881355,47.24,46.535,46.74683050847459,2020-06-04,81.25999999999964,82.0600000000003,161033.92783505155,82.14,80.85,81.31756013745705,2020-06-04,184.3850000000004,185.36000000000047,405148.8576388889,185.825,182.315,183.4282986111112
3,2020-06-05,47.37999999999972,46.86000000000016,293556.4194630872,48.295,47.365,48.11783557046978,2020-06-05,81.59687499999951,81.5499999999996,53261.88970588235,83.13,81.55,82.49586397058825,2020-06-05,182.6744599303143,182.9199999999988,117379.6306620209,187.695,182.105,186.32263066202088
4,2020-06-08,47.4399999999999,47.829999999999934,231547.92227979275,48.14,47.12,47.66979274611402,2020-06-08,81.48999999999982,82.26000000000018,103334.45333333334,83.195,81.49,82.79663333333332,2020-06-08,185.875,187.2000000000003,410513.670212766,188.495,184.505,187.5084308510638
5,2020-06-09,48.01499999999984,48.12999999999972,250756.19932432432,48.235,47.5,47.8971283783784,2020-06-09,83.20999999999944,82.90000000000028,103203.73170731709,83.5,82.12,82.90038327526129,2020-06-09,187.55999999999943,188.36000000000047,307519.0,190.68,187.35,189.6356747404845
6,2020-06-15,44.11500000000035,45.237073170731854,874969.9073359073,45.765,43.935,45.108030888030896,2020-06-15,75.0,76.29999999999966,257529.96370967745,75.27,73.595,74.15393145161292,2020-06-15,184.62000000000063,187.73999999999967,197189.3903345725,190.77,184.07,188.4260408921932
7,2020-06-16,47.37000000000016,46.44285891089135,133155.86666666667,47.455,45.93,47.09033333333333,2020-06-16,75.20500000000001,74.02,105348.6153846154,77.41,74.85,75.54038461538462,2020-06-16,192.85,188.94000000000003,49736.21428571428,195.57,191.48,193.0153846153846
8,2020-06-17,46.79000000000031,46.479999999999706,405158.8417266187,46.79,45.9,46.345809352517946,2020-06-17,77.3300000000005,76.97000000000016,305932.5049180328,77.33,75.625,76.25111475409835,2020-06-17,194.94000000000065,193.5699999999997,226402.4178082192,196.32,193.71,195.2543150684932
9,2020-06-18,45.84499999999977,46.17000000000006,438771.3921568628,46.045,45.355,45.61125816993463,2020-06-18,75.60499999999965,76.29000000000055,67879.75247524753,76.26,75.395,75.79374587458744,2020-06-18,194.0400000000008,194.23999999999944,143566.49520766773,196.485,194.01,195.4720926517573
